seed,eligible,exclusion_reason,natural_action_minimum_all_radii,natural_action_minimum_smallest_radius,natural_beats_wrong_all_radii,all_algorithms_positive_retraction_scaling,all_algorithms_high_quality_scaling_fit,all_algorithms_action_converged,natural_wins_wrong_metric_any_radius,rowspace_rotation_signal,natural_retraction_exponent,natural_retraction_r2,natural_smallest_radius_cost_over_minimum,action_winner_r0,action_winner_r1,action_winner_r2,action_winner_r3,wrong_metric_winner_r0,wrong_metric_winner_r1,wrong_metric_winner_r2,wrong_metric_winner_r3
73726,True,,True,True,True,True,True,True,False,True,0.8714398702992218,0.9774026846101025,1.8985910613778307,natural_gradient,natural_gradient,natural_gradient,natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient
73727,True,,True,True,True,True,True,True,False,True,0.6089857327510914,0.9959014319664856,1.9093144311472927,natural_gradient,natural_gradient,natural_gradient,natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient
73728,True,,True,True,True,True,True,True,False,True,0.775269417807155,0.9946846556454526,4.194320396944421,natural_gradient,natural_gradient,natural_gradient,natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient
73729,True,,True,True,True,True,True,True,False,True,0.708760684562762,0.9991170778011296,2.9275459622268363,natural_gradient,natural_gradient,natural_gradient,natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient
73730,False,arm:natural_gradient_r0,,,,,,,,,,,,,,,,,,,
73731,True,,True,True,True,True,True,True,False,True,0.6621084718837831,0.9986129426125245,3.0539591988694097,natural_gradient,natural_gradient,natural_gradient,natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient
73732,False,arm:natural_gradient_r0,,,,,,,,,,,,,,,,,,,
73733,True,,True,True,True,True,True,True,False,True,0.5991026920021764,0.9576288062282239,1.6021615238173263,natural_gradient,natural_gradient,natural_gradient,natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient
73734,True,,True,True,True,True,True,True,False,True,0.8239839919867032,0.9917649580588547,2.2049550721234756,natural_gradient,natural_gradient,natural_gradient,natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient
73735,True,,True,True,True,True,True,True,False,True,0.7246137797101193,0.9899746504727786,2.6591029567543676,natural_gradient,natural_gradient,natural_gradient,natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient
73736,True,,True,True,True,True,True,True,False,True,0.7253132494323205,0.9657089523789156,1.978231775445699,natural_gradient,natural_gradient,natural_gradient,natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient
73737,True,,True,True,True,True,True,True,False,True,0.6448284198744325,0.9923132894394925,1.8709231982023788,natural_gradient,natural_gradient,natural_gradient,natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient
73738,True,,True,True,True,True,True,True,False,True,0.6434575722753754,0.9977607139221607,2.852166019630467,natural_gradient,natural_gradient,natural_gradient,natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient
73739,True,,True,True,True,True,True,True,False,True,0.8361005812929109,0.9959114808967848,1.8258021539103026,natural_gradient,natural_gradient,natural_gradient,natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient
73740,True,,True,True,True,True,True,True,False,True,0.5729175788506744,0.9860131903018454,2.297849870390216,natural_gradient,natural_gradient,natural_gradient,natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient
73741,True,,True,True,True,True,True,True,False,True,0.7223916629620218,0.99459775118049,2.5552974885337374,natural_gradient,natural_gradient,natural_gradient,natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient,wrong_fisher_natural_gradient
