seed,base_confirm_accuracy,accuracy_gate,anchor_count,response_rank,null_dimension,projected_gradient_share,true_loss_delta,anti_loss_delta,shuffled_loss_delta,random_best_loss_delta,ambient_raw_loss_delta,true_kernel_relative_residual,true_response_leakage_max,gate_nontrivial_kernel,gate_kernel_relative_residual,gate_finite_response_leakage,gate_true_improves,gate_anti_effect,gate_random_best_effect,gate_shuffled_effect,gate_ambient_is_unconstrained,candidate
64726,0.7910000085830688,True,4,36,5094,0.47397636458374065,-0.02465740953328388,0.03361582820688147,0.0006443829644715571,-0.0008497627408968755,-0.0388445532726982,1.9538064930718413e-14,2.886579864025407e-14,True,True,True,True,True,True,True,True,True
64727,0.7955000400543213,True,4,36,5094,0.45667321759438945,-0.023767407405928975,0.033846290155069236,0.0014650641418161303,-0.0008523331553915714,-0.03333869347272045,1.8174850632135745e-14,2.5757174171303632e-14,True,True,True,True,True,True,True,True,True
64728,0.7885000109672546,True,4,36,5094,0.4581601907827754,-0.028437633139424934,0.039611136608237785,-0.00020109993898020928,-0.0013002739552373521,-0.043083269552920744,2.333892459644278e-14,3.375077994860476e-14,True,True,True,True,True,True,True,True,True
64729,0.7900000214576721,True,4,36,5094,0.4624064478241863,-0.03118213832573069,0.041958623571176856,-0.0033599167978425326,-0.001091980897187761,-0.053636578068482654,2.0868190583267536e-14,2.842170943040401e-14,True,True,True,True,True,True,True,True,True
64730,0.7950000166893005,True,4,36,5094,0.448934032398434,-0.02345805298802417,0.034549310408780176,0.0006274369382486267,-0.0006721193039121998,-0.03069860037156158,2.6885825135000768e-14,3.8191672047105385e-14,True,True,True,True,True,True,True,True,True
64731,0.7890000343322754,True,4,36,5094,0.4702157264871245,-0.026691053281633015,0.03711404592542045,-0.0009255762133961731,-0.000886952262265317,-0.04386959358598774,2.024843308902324e-14,2.398081733190338e-14,True,True,True,True,True,True,True,True,True
64732,0.7780000567436218,True,4,36,5094,0.44346977045114616,-0.03460720947891027,0.045159935332177104,-0.002800222886138015,-0.0011496728121830335,-0.06374353309582725,2.324623421533034e-14,2.6645352591003757e-14,True,True,True,True,True,True,True,True,True
64733,0.7935000658035278,True,4,36,5094,0.4434892762388232,-0.024213065705861903,0.033646267378671935,0.00021289323955520079,-0.000906862140085285,-0.03440131225924736,2.6386779743596667e-14,4.1744385725905886e-14,True,True,True,True,True,True,True,True,True
64734,0.7705000638961792,True,4,36,5094,0.4371382051498221,-0.03881237178293151,0.050734100697878426,-0.00558251153177769,-0.0012866242519938842,-0.07331622490309553,2.0643609165421798e-14,2.7977620220553945e-14,True,True,True,True,True,True,True,True,True
64735,0.796500027179718,True,4,36,5094,0.47443410061664426,-0.018998771426971817,0.028784765313028426,0.0028721089871670547,-0.0006481242361437989,-0.021594889188155997,2.5583402994935557e-14,3.375077994860476e-14,True,True,True,True,True,True,True,True,True
64736,0.7980000376701355,True,4,36,5094,0.4830726281829486,-0.019518257950644657,0.027152466446449197,0.003228658087907288,-0.0009278668222998387,-0.022838699152423203,2.6437584098733343e-14,3.863576125695545e-14,True,True,True,True,True,True,True,True,True
64737,0.7735000252723694,True,4,36,5094,0.436955895164625,-0.034301480743254786,0.04523309238585127,-0.0029404933664329835,-0.0010257685300463226,-0.06377162601266961,2.471499660854854e-14,3.375077994860476e-14,True,True,True,True,True,True,True,True,True
64738,0.7860000133514404,True,4,36,5094,0.44313366653742164,-0.027407535481448475,0.03735347674251355,-0.0006940782175333116,-0.0008951444443728862,-0.044556466086334456,1.7160829621633862e-14,2.2648549702353193e-14,True,True,True,True,True,True,True,True,True
64739,0.7725000381469727,True,4,36,5094,0.442738204907118,-0.03460687872934742,0.04583840468550404,-0.0034527272006077414,-0.0010259197279971488,-0.06372540364838997,2.6318447766355767e-14,3.597122599785507e-14,True,True,True,True,True,True,True,True,True
64740,0.7785000205039978,True,4,36,5094,0.4360842265479439,-0.03658899213767519,0.048793952173974864,-0.003730127466406663,-0.0012434953433069218,-0.0682058348509822,3.700006850997025e-14,5.417888360170764e-14,True,True,True,True,True,True,True,True,True
