seed,source_accuracy,kernel_residual,all_six_paths_admissible,natural_gradient_is_argmin,natural_gradient_beats_wrong_fisher,max_leakage,max_integration_relative_change,adam_hit_step,normalized_sgd_hit_step,normalized_momentum_hit_step,sign_gradient_hit_step,natural_gradient_hit_step,wrong_fisher_natural_gradient_hit_step,adam_fisher_action,normalized_sgd_fisher_action,normalized_momentum_fisher_action,sign_gradient_fisher_action,natural_gradient_fisher_action,wrong_fisher_natural_gradient_fisher_action
18726,0.9055,6.893757927173283e-06,True,True,True,0.0039304946549236774,0.0016689778139987862,3,2,2,4,3,1,0.4729976389378356,0.4688717755725642,0.4689904901526104,0.4896733917157625,0.4467161341618014,0.4786593492418252
18727,0.9255,1.6679597365509835e-06,True,True,True,0.007380388211458921,0.0011827499691979366,3,2,2,4,3,1,0.5708902811072368,0.5926475571665711,0.592717777925166,0.5698384568063956,0.4299079637623298,0.5778871267463259
18728,0.923,2.696356204978656e-06,True,True,True,0.004231566097587347,0.0050319660206350125,3,2,2,4,3,1,0.4589885885494219,0.46598691620903415,0.4659889920438218,0.48409675610873326,0.3250299958468108,0.47414226660109665
18729,0.9515,1.636180513742147e-06,True,True,True,0.002165792975574732,0.0004575300549404626,3,2,2,3,2,1,0.5075366458978697,0.42096341351163447,0.4209754900056383,0.5088027744539617,0.32259928963010975,0.4060992741515192
18730,0.951,1.3881617633160204e-06,True,False,False,0.007745148614048958,0.0019050179846398381,4,2,2,4,5,1,0.6828588626919528,0.6315860266363491,0.6315341227786126,0.7080067210097192,0.6808023493449735,0.6432445954831385
18731,0.916,5.431651516119018e-06,True,True,True,0.025899775326251984,0.003583625307809311,5,3,3,6,4,3,0.8597777358372488,1.0107253538768963,1.0173614896956504,0.8599820745501774,0.5286942772971197,2.0491631642397676
18732,0.9175,6.19628463027766e-06,True,True,True,0.006892636884003878,0.001127558991064119,4,2,2,5,4,1,0.7473385513365174,0.7378681165711058,0.7379359575565084,0.7814036107664037,0.6758962869954078,0.7095663005456658
18733,0.9385,2.1466494217747822e-06,True,True,True,0.0061102090403437614,0.0004214271617284889,4,2,2,4,3,1,0.5227595631958637,0.565582718909986,0.565587766249563,0.5759973871104274,0.4404132507246584,0.5778749906125521
18734,0.916,1.5888718962742132e-06,True,True,True,0.0035593577194958925,0.0006476087894954166,4,2,2,4,4,1,0.5461071438864145,0.5473354549562085,0.5470980663530727,0.6006782314971743,0.45949415522730963,0.5298615056448963
18735,0.929,1.3877258879801957e-06,True,True,True,0.011249879375100136,0.001887362041255109,4,2,2,4,3,1,0.5392974266374456,0.6185901639785741,0.6187187485016157,0.5649034430226566,0.4027769333234942,0.609781959247978
18736,0.932,1.2286312767173513e-06,True,True,True,0.012967093847692013,0.006085717979203768,3,2,2,4,3,1,0.57061095388341,0.5575173363158414,0.5574293742843702,0.5943796016429569,0.4701948329692362,0.5638733072747629
18737,0.9525,2.2320634798234096e-06,True,True,True,0.00952095352113247,0.0008466978428620924,5,2,2,6,5,1,0.8910375460727348,0.8529959269609718,0.8534166820511383,0.9230990345767488,0.7595226071883426,0.8446495088855307
18738,0.929,1.3374890386330662e-06,True,True,True,0.00381542113609612,0.00084627493123973,4,2,2,4,4,1,0.5746393956836464,0.640084895728702,0.6404164735066763,0.6001991127777005,0.5398617432444593,0.6328185478684863
18739,0.952,1.16211629119789e-06,True,True,True,0.006242150440812111,0.0007831962095763894,3,2,2,4,2,1,0.4673943632509599,0.6036601644191715,0.6035960090345036,0.46773433784052704,0.29759740601737783,0.6140967901267251
18740,0.9125,1.986929873964982e-06,True,True,True,0.01064274925738573,0.007328838469416069,4,2,2,4,3,1,0.4790594193534798,0.4740507803467421,0.4741031251190881,0.48250763147821746,0.41163396215259807,0.5071554271585956
18741,0.934,2.987727384606842e-06,True,True,True,0.002814961364492774,0.00032569665965530433,3,2,2,4,3,1,0.540963850859798,0.404110778877152,0.4040881301892091,0.5659157013606949,0.3596856526620557,0.4008442267491478
